,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
10,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299
11,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103
12,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158
13,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148
14,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452
15,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281
16,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275
17,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354
18,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405
19,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546
20,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229
21,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444
22,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079
23,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583
24,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795
25,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236
26,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905
27,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092
28,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165
29,0.013312044,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942
30,0.0,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125
31,0.018017977,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584
32,0.028883658,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157
33,0.02481699,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123
34,0.026760299,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092
35,0.030091103,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753
36,0.07298158,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283
37,0.06356148,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558
38,0.10884452,0.08648281,0.32815275,0.117966354,0.114963405,0.079382546,0.03199229,0.030549444,0.03771079,0.045009583,0.0464795,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766
