date,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15
1941-07-31,-40.85,2.6,20.44,-38.47,-58.58,-71.35,-51.05,-4.03,27.62,8.55
1941-08-31,-22.3,7.64,20.45,-31.54,-47.34,-46.31,-33.09,-14.43,30.54,-1.64
1941-09-30,-5.93,15.7,25.18,-4.76,-24.83,-22.9,-17.62,7.18,4.79,-0.5
1941-10-31,5.49,17.38,26.89,5.66,-12.35,-8.58,-5.99,5.95,7.54,8.06
1941-11-30,12.41,16.08,25.57,9.59,-11.3,-5.14,-6.64,3.31,4.19,7.95
1941-12-31,180.07,54.14,41.52,79.57,60.93,31.78,29.4,64.69,7.2,109.52
1942-01-31,128.53,27.59,47.06,93.06,8.86,20.41,5.79,34.36,6.67,44.27
1942-02-28,157.45,13.8,40.12,40.17,1,18.05,-7.2,28.89,6.47,15.91
1942-03-31,-103.88,17.14,33.62,2.73,13.42,-4.67,5.55,32.44,7.84,32.74
1942-04-30,-14.56,34.84,42.39,51.59,39.76,38.75,23.23,46.38,6.72,41.05
1942-05-31,-37.52,15.16,38.63,32.42,28.5,38.62,23.3,47.12,14.95,73.12
1942-06-30,-42.75,3.96,25.29,12.59,29.72,28.04,34.07,48.92,27.22,74.16
1942-07-31,-41.47,-1.75,19.36,-38.34,-47.44,-69.09,-46.36,-0.02,39.04,2.58
1942-08-31,-24.14,5.07,18.61,-34.04,-40.63,-57.41,-36.32,-13.41,36.03,7.9
1942-09-30,-5.47,14.52,25,-3.35,-19.61,-27.11,-16.65,10.83,3.57,5.28
1942-10-31,5.9,18.04,27.1,5.01,-19.01,-12.34,-8.99,8.51,7.86,14.43
1942-11-30,29.18,21.69,31.56,21.1,0.22,2.11,-1.66,11.02,4.5,17.82
1942-12-31,61.17,28.64,34.13,35.9,2.68,23.87,8.49,10.57,3.96,25.34
1943-01-31,200.76,36.84,48.34,115.87,57.45,26.34,14.45,68.96,6.49,120.58
1943-02-28,-6.11,15.4,35.64,26.13,-0.64,20.48,9.11,18.09,7,19.94
1943-03-31,16.15,34.34,56.66,82.73,78.95,73.81,53.26,102.18,11.86,182.93
1943-04-30,-38.56,16.23,39.4,8.06,-17.75,-3.54,-17.11,17.17,10.76,55.02
1943-05-31,-45.99,-4.86,23.44,3.6,14.51,-1.87,9.27,46.23,19.74,56.77
1943-06-30,-36.88,1.85,25.11,-20.78,-32.72,-30.6,-18.47,6.73,26.98,11.26
1943-07-31,-30.2,3.52,21.66,-35.53,-31.39,-60.68,-33.73,6.45,46.59,16.52
1943-08-31,-15.71,9.31,22.08,-17.43,-16.99,-28.32,-18.22,3.71,40.17,18.45
1943-09-30,-0.07,16.56,27.06,6.67,-11.62,-16.58,-10.09,17.08,3.08,11.4
1943-10-31,9.79,19.38,29.43,11.4,-4.68,-7.98,-4.73,13.92,7.83,19.73
1943-11-30,9.99,16.65,25.86,12.95,-8.13,-2.16,-5.05,7.42,4.1,14.05
1943-12-31,12.48,12.91,25.81,16.51,-0.51,2.47,0.6,9.78,3.45,16.47
1944-01-31,32.52,14.1,27.01,18.86,8.2,-1.68,-3.19,12.88,2.79,21.16
1944-02-29,92.72,25.03,35.33,67.36,35.03,-0.89,7.92,43.98,3.39,60.55
1944-03-31,8.34,16.18,29.57,15.06,-8.57,20.35,-3.31,21.12,6.27,37.31
1944-04-30,-7.51,5.58,29.59,9.76,10.36,-10.39,-2,32.48,4.96,34.88
1944-05-31,-5.15,12.36,23.06,16.15,-3.85,30.05,6.01,26.54,13.69,45.66
1944-06-30,-14.89,3.56,20.41,-3.85,-2.42,-10.51,-2.38,26.43,27.58,28.93
1944-07-31,-10,7.29,19.66,-5.33,6.01,-22.45,-4.67,29.96,53.96,32.29
1944-08-31,-0.56,12.39,20.7,2.89,2.85,-13.05,-3.5,21.12,43.18,34.99
1944-09-30,7.76,16.53,25.56,18.16,-7.85,-8.6,-3.53,25.25,2.07,23.19
1944-10-31,11.78,15.8,25.74,15.89,-14.39,-0.07,-0.1,11.09,8.09,28.32
1944-11-30,44.34,24.32,32.41,30.2,1.91,14.58,10.34,13.46,3.63,50.38
1944-12-31,33.35,17.68,28.97,29.89,-7.72,18.89,-1.66,12.09,2.31,19.43
