Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
135,31 Dec 1931, 24:00, ,11.168, , , , , , , , 
136,31 Jan 1932, 24:00, ,9.446, , , , , , , , 
137,29 Feb 1932, 24:00, ,9.909, , , , , , , , 
138,31 Mar 1932, 24:00, ,11.925, , , , , , , , 
139,30 Apr 1932, 24:00, ,13.194, , , , , , , , 
140,31 May 1932, 24:00, ,13.856, , , , , , , , 
141,30 Jun 1932, 24:00, ,12.787, , , , , , , , 
142,31 Jul 1932, 24:00, ,12.682, , , , , , , , 
143,31 Aug 1932, 24:00, ,12.881, , , , , , , , 
144,30 Sep 1932, 24:00, ,12.436, , , , , , , , 
145,31 Oct 1932, 24:00, ,12.409, , , , , , , , 
146,30 Nov 1932, 24:00, ,7.644, , , , , , , , 
147,31 Dec 1932, 24:00, ,3.041, , , , , , , , 
148,31 Jan 1933, 24:00, ,6.929, , , , , , , , 
149,28 Feb 1933, 24:00, ,8.225, , , , , , , , 
150,31 Mar 1933, 24:00, ,16.032, , , , , , , , 
151,30 Apr 1933, 24:00, ,9.930, , , , , , , , 
152,31 May 1933, 24:00, ,12.828, , , , , , , , 
153,30 Jun 1933, 24:00, ,13.787, , , , , , , , 
154,31 Jul 1933, 24:00, ,15.746, , , , , , , , 
155,31 Aug 1933, 24:00, ,15.297, , , , , , , , 
156,30 Sep 1933, 24:00, ,7.225, , , , , , , , 
157,31 Oct 1933, 24:00, ,12.305, , , , , , , , 
158,30 Nov 1933, 24:00, ,7.579, , , , , , , , 
159,31 Dec 1933, 24:00, ,3.015, , , , , , , , 
160,31 Jan 1934, 24:00, ,6.871, , , , , , , , 
161,28 Feb 1934, 24:00, ,8.156, , , , , , , , 
162,31 Mar 1934, 24:00, ,15.897, , , , , , , , 
163,30 Apr 1934, 24:00, ,9.846, , , , , , , , 
164,31 May 1934, 24:00, ,12.720, , , , , , , , 
165,30 Jun 1934, 24:00, ,13.671, , , , , , , , 
166,31 Jul 1934, 24:00, ,15.614, , , , , , , , 
167,31 Aug 1934, 24:00, ,15.168, , , , , , , , 
168,30 Sep 1934, 24:00, ,7.164, , , , , , , , 
169,31 Oct 1934, 24:00, ,11.090, , , , , , , , 
170,30 Nov 1934, 24:00, ,14.866, , , , , , , , 
171,31 Dec 1934, 24:00, ,6.424, , , , , , , , 
172,31 Jan 1935, 24:00, ,14.946, , , , , , , , 
173,28 Feb 1935, 24:00, ,11.859, , , , , , , , 
174,31 Mar 1935, 24:00, ,13.787, , , , , , , , 
175,30 Apr 1935, 24:00, ,13.697, , , , , , , , 
176,31 May 1935, 24:00, ,14.097, , , , , , , , 
177,30 Jun 1935, 24:00, ,14.806, , , , , , , , 
178,31 Jul 1935, 24:00, ,15.196, , , , , , , , 
179,31 Aug 1935, 24:00, ,15.276, , , , , , , , 
180,30 Sep 1935, 24:00, ,9.331, , , , , , , , 
181,31 Oct 1935, 24:00, ,11.038, , , , , , , , 
182,30 Nov 1935, 24:00, ,14.797, , , , , , , , 
183,31 Dec 1935, 24:00, ,6.394, , , , , , , , 
184,31 Jan 1936, 24:00, ,14.876, , , , , , , , 
185,29 Feb 1936, 24:00, ,11.804, , , , , , , , 
186,31 Mar 1936, 24:00, ,13.723, , , , , , , , 
187,30 Apr 1936, 24:00, ,13.633, , , , , , , , 
188,31 May 1936, 24:00, ,14.031, , , , , , , , 
189,30 Jun 1936, 24:00, ,14.737, , , , , , , , 
190,31 Jul 1936, 24:00, ,15.125, , , , , , , , 
191,31 Aug 1936, 24:00, ,15.204, , , , , , , , 
192,30 Sep 1936, 24:00, ,9.288, , , , , , , , 
193,31 Oct 1936, 24:00, ,9.261, , , , , , , , 
194,30 Nov 1936, 24:00, ,14.140, , , , , , , , 
195,31 Dec 1936, 24:00, ,11.725, , , , , , , , 
196,31 Jan 1937, 24:00, ,9.917, , , , , , , , 
